"","Brand","Responders"
"1","Chivas.Regal",806
"2","Dewar.s.White.Label",517
"3","Johnnie.Walker.Black.Label",502
"4","J...B",458
"5","Johnnie.Walker.Red.Label",424
"6","Other.Brands",414
"7","Glenlivet",354
"8","Cutty.Sark",339
"9","Glenfiddich",334
"10","Pinch..Haig.",117
"11","Clan.MacGregor",103
"12","Ballantine",99
"13","Macallan",95
"14","Passport",82
"15","Black...White",81
"16","Scoresby.Rare",79
"17","Grants",74
"18","Ushers",67
"19","White.Horse",62
"20","Knockando",47
"21","the.Singleton",31
